analysis_id,analyzed_at,source_file,row_number,actual_label,actual_name,predicted_label,predicted_name,risk_score,confidence,risk_level,family,reasons,feature_duration,feature_protocol_type,feature_service,feature_flag,feature_src_bytes,feature_dst_bytes,feature_land,feature_wrong_fragment,feature_urgent,feature_hot,feature_num_failed_logins,feature_logged_in,feature_num_compromised,feature_root_shell,feature_su_attempted,feature_num_root,feature_num_file_creations,feature_num_shells,feature_num_access_files,feature_num_outbound_cmds,feature_is_host_login,feature_is_guest_login,feature_count,feature_srv_count,feature_serror_rate,feature_srv_serror_rate,feature_rerror_rate,feature_srv_rerror_rate,feature_same_srv_rate,feature_diff_srv_rate,feature_srv_diff_host_rate,feature_dst_host_count,feature_dst_host_srv_count,feature_dst_host_same_srv_rate,feature_dst_host_diff_srv_rate,feature_dst_host_same_src_port_rate,feature_dst_host_srv_diff_host_rate,feature_dst_host_serror_rate,feature_dst_host_srv_serror_rate,feature_dst_host_rerror_rate,feature_dst_host_srv_rerror_rate
scan-20260506_081928,2026-05-06T02:49:28+00:00,kddtest.csv,11,1,attack,0,normal,0.0,1.0,low,normal,close to learned normal profile,0.0,2.0,24.0,1.0,105.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255.0,254.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
scan-20260506_081928,2026-05-06T02:49:28+00:00,kddtest.csv,12,0,normal,0,normal,0.0,1.0,low,normal,close to learned normal profile,0.0,1.0,1.0,1.0,230.0,260.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.11,3.0,255.0,1.0,0.0,0.33,0.07,0.33,0.0,0.0,0.0
scan-20260506_081928,2026-05-06T02:49:28+00:00,kddtest.csv,13,0,normal,0,normal,0.0,1.0,low,normal,close to learned normal profile,0.0,2.0,24.0,1.0,105.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255.0,254.0,1.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0
scan-20260506_081928,2026-05-06T02:49:28+00:00,kddtest.csv,14,1,attack,0,normal,0.0,1.0,low,normal,close to learned normal profile,0.0,2.0,24.0,1.0,105.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255.0,252.0,0.99,0.01,0.0,0.0,0.0,0.0,0.0,0.0
scan-20260506_081928,2026-05-06T02:49:28+00:00,kddtest.csv,15,0,normal,0,normal,0.0,1.0,low,probe_scan,high service or host diversity,1.0,1.0,19.0,1.0,3170.0,329.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,54.0,39.0,0.72,0.11,0.02,0.0,0.02,0.0,0.09,0.13
scan-20260506_081928,2026-05-06T02:49:28+00:00,kddtest.csv,16,0,normal,0,normal,0.0,1.0,low,normal,close to learned normal profile,0.0,1.0,1.0,1.0,297.0,13787.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,177.0,255.0,1.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0
scan-20260506_081928,2026-05-06T02:49:28+00:00,kddtest.csv,17,0,normal,0,normal,0.0,1.0,low,normal,close to learned normal profile,0.0,1.0,1.0,1.0,291.0,3542.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,187.0,255.0,1.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0
scan-20260506_081928,2026-05-06T02:49:28+00:00,kddtest.csv,18,0,normal,0,normal,0.0,1.0,low,normal,close to learned normal profile,0.0,1.0,1.0,1.0,295.0,753.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,22.0,0.0,0.0,0.0,0.0,1.0,0.0,0.09,196.0,255.0,1.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0
scan-20260506_081928,2026-05-06T02:49:28+00:00,kddtest.csv,19,1,attack,0,normal,0.0,1.0,low,normal,close to learned normal profile,0.0,2.0,24.0,1.0,105.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255.0,254.0,1.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0
scan-20260506_081928,2026-05-06T02:49:28+00:00,kddtest.csv,20,1,attack,0,normal,0.0,1.0,low,normal,close to learned normal profile,0.0,2.0,24.0,1.0,105.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255.0,254.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
scan-20260506_081928,2026-05-06T02:49:28+00:00,kddtest.csv,21,0,normal,0,normal,0.0,1.0,low,normal,close to learned normal profile,0.0,1.0,1.0,1.0,268.0,9235.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,58.0,255.0,1.0,0.0,0.02,0.05,0.0,0.0,0.0,0.0
scan-20260506_081928,2026-05-06T02:49:28+00:00,kddtest.csv,22,1,attack,0,normal,0.0,1.0,low,normal,close to learned normal profile,0.0,2.0,24.0,1.0,105.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255.0,253.0,0.99,0.01,0.0,0.0,0.0,0.0,0.0,0.0
scan-20260506_081928,2026-05-06T02:49:28+00:00,kddtest.csv,23,0,normal,0,normal,0.0,1.0,low,normal,close to learned normal profile,0.0,1.0,1.0,1.0,223.0,185.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255.0,255.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scan-20260506_081928,2026-05-06T02:49:28+00:00,kddtest.csv,24,0,normal,0,normal,0.0,1.0,low,normal,close to learned normal profile,0.0,1.0,1.0,1.0,227.0,8841.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255.0,255.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scan-20260506_081928,2026-05-06T02:49:28+00:00,kddtest.csv,25,0,normal,0,normal,0.0,1.0,low,normal,close to learned normal profile,0.0,1.0,1.0,1.0,222.0,19564.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,23.0,0.0,0.0,0.0,0.0,1.0,0.0,0.09,255.0,255.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scan-20260506_081928,2026-05-06T02:49:28+00:00,kddtest.csv,26,0,normal,0,normal,0.0,1.0,low,normal,close to learned normal profile,0.0,1.0,49.0,1.0,740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,77.0,33.0,0.34,0.08,0.34,0.06,0.0,0.0,0.0,0.0
scan-20260506_081928,2026-05-06T02:49:28+00:00,kddtest.csv,27,0,normal,0,normal,0.0,1.0,low,normal,close to learned normal profile,0.0,2.0,24.0,1.0,105.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255.0,254.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
scan-20260506_081928,2026-05-06T02:49:28+00:00,kddtest.csv,28,0,normal,0,normal,0.0,1.0,low,normal,close to learned normal profile,0.0,1.0,49.0,1.0,35195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,92.0,44.0,0.43,0.07,0.43,0.05,0.0,0.0,0.0,0.0
scan-20260506_081928,2026-05-06T02:49:28+00:00,kddtest.csv,29,0,normal,0,normal,0.0,1.0,low,normal,close to learned normal profile,0.0,1.0,49.0,1.0,8325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,103.0,54.0,0.49,0.06,0.49,0.04,0.0,0.0,0.0,0.0
scan-20260506_081928,2026-05-06T02:49:28+00:00,kddtest.csv,30,1,attack,0,normal,0.0,1.0,low,normal,close to learned normal profile,0.0,2.0,24.0,1.0,105.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255.0,254.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
scan-20260506_081928,2026-05-06T02:49:28+00:00,kddtest.csv,31,1,attack,0,normal,0.0,1.0,low,normal,close to learned normal profile,0.0,2.0,24.0,1.0,105.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255.0,254.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
scan-20260506_081928,2026-05-06T02:49:28+00:00,kddtest.csv,32,0,normal,0,normal,0.0,1.0,low,normal,close to learned normal profile,0.0,2.0,24.0,1.0,105.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255.0,254.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
scan-20260506_081928,2026-05-06T02:49:28+00:00,kddtest.csv,33,1,attack,0,normal,0.0,1.0,low,normal,close to learned normal profile,0.0,2.0,24.0,1.0,105.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255.0,254.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
scan-20260506_081928,2026-05-06T02:49:28+00:00,kddtest.csv,34,0,normal,0,normal,0.0,1.0,low,normal,close to learned normal profile,0.0,1.0,19.0,1.0,559.0,336.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,84.0,176.0,0.75,0.08,0.01,0.01,0.01,0.01,0.08,0.05
scan-20260506_081928,2026-05-06T02:49:28+00:00,kddtest.csv,35,0,normal,0,normal,0.0,1.0,low,normal,close to learned normal profile,0.0,1.0,1.0,1.0,227.0,182.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255.0,255.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scan-20260506_081928,2026-05-06T02:49:28+00:00,kddtest.csv,36,0,normal,0,normal,0.0,1.0,low,normal,close to learned normal profile,0.0,2.0,24.0,1.0,105.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255.0,252.0,0.99,0.01,0.0,0.0,0.0,0.0,0.0,0.0
scan-20260506_081928,2026-05-06T02:49:28+00:00,kddtest.csv,37,0,normal,0,normal,0.0,1.0,low,normal,close to learned normal profile,0.0,1.0,1.0,1.0,317.0,278.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,192.0,255.0,1.0,0.0,0.01,0.04,0.0,0.0,0.0,0.0
scan-20260506_081928,2026-05-06T02:49:28+00:00,kddtest.csv,38,0,normal,0,normal,0.0,1.0,low,probe_scan,high service or host diversity,1.0,1.0,19.0,1.0,1661.0,330.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,172.0,126.0,0.37,0.04,0.01,0.02,0.01,0.0,0.02,0.02
scan-20260506_081928,2026-05-06T02:49:28+00:00,kddtest.csv,39,0,normal,0,normal,0.0,1.0,low,probe_scan,high service or host diversity; login or credential anomaly,20.0,1.0,50.0,1.0,232.0,765.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,179.0,48.0,0.27,0.04,0.01,0.0,0.01,0.02,0.02,0.0
scan-20260506_081928,2026-05-06T02:49:28+00:00,kddtest.csv,40,0,normal,0,normal,0.0,1.0,low,normal,close to learned normal profile,0.0,1.0,1.0,1.0,322.0,680.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.25,6.0,255.0,1.0,0.0,0.17,0.04,0.0,0.0,0.0,0.0
scan-20260506_081928,2026-05-06T02:49:28+00:00,kddtest.csv,41,0,normal,0,normal,0.0,1.0,low,normal,close to learned normal profile,0.0,1.0,1.0,1.0,321.0,2060.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.11,8.0,255.0,1.0,0.0,0.12,0.03,0.0,0.0,0.0,0.0
scan-20260506_081928,2026-05-06T02:49:28+00:00,kddtest.csv,42,0,normal,0,normal,0.0,1.0,low,normal,close to learned normal profile,0.0,1.0,1.0,1.0,234.0,14497.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.12,255.0,255.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scan-20260506_081928,2026-05-06T02:49:28+00:00,kddtest.csv,43,0,normal,0,normal,0.0,1.0,low,normal,close to learned normal profile,0.0,1.0,1.0,1.0,218.0,261.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,32.0,0.0,0.0,0.0,0.0,1.0,0.0,0.09,255.0,255.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scan-20260506_081928,2026-05-06T02:49:28+00:00,kddtest.csv,44,0,normal,0,normal,0.0,1.0,low,normal,close to learned normal profile,0.0,1.0,1.0,1.0,216.0,7504.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,21.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,255.0,255.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scan-20260506_081928,2026-05-06T02:49:28+00:00,kddtest.csv,45,0,normal,0,normal,0.0,1.0,low,probe_scan,high service or host diversity,0.0,1.0,49.0,1.0,615.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,174.0,56.0,0.32,0.03,0.32,0.0,0.0,0.0,0.0,0.0
scan-20260506_081928,2026-05-06T02:49:28+00:00,kddtest.csv,46,0,normal,0,normal,0.0,1.0,low,normal,close to learned normal profile,0.0,1.0,1.0,1.0,312.0,677.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,37.0,0.0,0.0,0.0,0.0,1.0,0.0,0.11,22.0,255.0,1.0,0.0,0.05,0.04,0.0,0.0,0.0,0.0
scan-20260506_081928,2026-05-06T02:49:28+00:00,kddtest.csv,47,0,normal,0,normal,0.0,1.0,low,normal,close to learned normal profile,0.0,2.0,24.0,1.0,105.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255.0,254.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
scan-20260506_081928,2026-05-06T02:49:28+00:00,kddtest.csv,48,0,normal,0,normal,0.0,1.0,low,normal,close to learned normal profile,0.0,1.0,1.0,1.0,307.0,1528.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255.0,255.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scan-20260506_081928,2026-05-06T02:49:28+00:00,kddtest.csv,49,1,attack,0,normal,0.0,1.0,low,normal,close to learned normal profile,0.0,2.0,24.0,1.0,105.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255.0,254.0,1.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0
scan-20260506_081928,2026-05-06T02:49:28+00:00,kddtest.csv,50,1,attack,0,normal,0.0,1.0,low,normal,close to learned normal profile,0.0,2.0,24.0,1.0,105.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255.0,254.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
scan-20260506_081928,2026-05-06T02:49:28+00:00,kddtest.csv,51,0,normal,0,normal,0.0,1.0,low,normal,close to learned normal profile,0.0,1.0,1.0,1.0,246.0,753.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255.0,255.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scan-20260506_081928,2026-05-06T02:49:28+00:00,kddtest.csv,52,1,attack,0,normal,0.0,1.0,low,normal,close to learned normal profile,0.0,2.0,24.0,1.0,105.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255.0,254.0,1.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0
scan-20260506_081928,2026-05-06T02:49:28+00:00,kddtest.csv,53,0,normal,0,normal,0.0,1.0,low,normal,close to learned normal profile,0.0,1.0,1.0,1.0,245.0,4199.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255.0,255.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scan-20260506_081928,2026-05-06T02:49:28+00:00,kddtest.csv,54,1,attack,0,normal,0.0,1.0,low,normal,close to learned normal profile,0.0,2.0,24.0,1.0,105.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255.0,255.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scan-20260506_081928,2026-05-06T02:49:28+00:00,kddtest.csv,55,0,normal,0,normal,0.0,1.0,low,normal,close to learned normal profile,0.0,1.0,19.0,1.0,908.0,330.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,240.0,101.0,0.38,0.03,0.0,0.02,0.01,0.0,0.01,0.03
